year,assists,goals,hockeyAssists,completions,throwAttempts,throwaways,stalls,callahansThrown,yardsReceived,yardsThrown,hucksAttempted,hucksCompleted,catches,drops,blocks,callahans,pulls,obPulls,recordedPulls,recordedPullsHangtime,oPointsPlayed,oPointsScored,dPointsPlayed,dPointsScored,secondsPlayed,oOpportunities,oOpportunityScores,dOpportunities,dOpportunityStops,firstName,lastName,id,team
2021,35,9,18,329,354,18,0,0,536,3007,29,20,288,4,8,0,4,0,1,374,170,124,9,3,12358,231,127,109,72,Jakob,Brissette,jbrissett,royal
2023,8,2,5,48,51,3,0,0,799,368,1,0,53,1,3,0,0,0,0,0,53,32,32,6,5801,79,38,65,34,Mischa,Freystaetter,mfreystae,hustle
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,105,1,1,0,0,Ames,Fegert,afegert,havoc
2015,30,28,18,275,297,18,2,0,0,0,0,0,264,5,11,0,0,0,0,0,180,136,56,29,15374,321,165,206,144,Brian,Hart,bhart,radicals
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elliott ,Rudder,erudder,havoc
2022,0,0,1,15,20,3,0,0,85,41,1,0,16,1,3,0,0,0,0,0,1,1,79,10,5081,41,11,108,40,Malachi,Marshall,mmarshall,mechanix
2018,7,6,5,62,63,1,0,0,0,0,0,0,68,1,8,0,5,1,3,15038,29,14,193,53,10153,158,67,280,133,Grayson,Pangburn,gpangburn,windchill
2016,49,6,23,304,363,52,0,0,0,0,0,0,269,2,16,0,115,20,90,497611,129,78,179,54,16309,333,132,363,214,Chase,Cunningham,ccunningh,sol
2023,0,0,1,7,8,0,0,0,23,42,0,0,8,0,0,0,0,0,0,0,0,0,11,4,1122,9,4,16,9,Mateo,Dominguez,mdomingue,aviators
2022,0,0,1,3,3,0,0,0,46,6,0,0,4,0,0,0,0,0,0,0,0,0,20,1,923,6,1,25,6,Kyle,Blaeuer,kblaeuer,nitro
2022,0,0,1,3,3,0,0,0,46,6,0,0,4,0,0,0,0,0,0,0,0,0,20,1,923,6,1,25,6,Kyle,Blaeuer,kblaeuer,cascades
2016,9,8,5,54,65,11,1,0,0,0,0,0,67,1,14,0,0,0,0,0,81,34,143,19,10333,192,53,266,124,CJ,O'Brien,cobrien,revolution
2016,22,14,16,172,177,4,1,0,0,0,0,0,186,0,2,0,0,0,0,0,132,99,33,16,9899,221,114,132,97,Pat,Shriwise,pshriwise,radicals
2015,0,4,0,16,21,5,0,0,0,0,0,0,23,1,1,0,0,0,0,0,6,3,46,14,2625,44,17,70,39,Sun,Choi,schoi,hustle
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CJ,O'Brien,cobrien,union
2022,1,3,2,19,20,1,0,0,216,75,0,0,23,3,2,0,1,0,1,14679,0,0,56,16,3567,34,16,74,37,Trevor,Elam,telam,sol
2016,21,35,27,289,311,17,0,0,0,0,0,0,296,5,11,0,0,0,0,0,164,122,86,36,14901,305,158,224,146,Brian,Hart,bhart,radicals
2019,1,0,0,12,14,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,35,12,1894,25,12,48,24,David,Woods,dwoods,union
2019,1,5,6,21,24,2,0,0,0,0,0,0,26,0,5,0,0,0,0,0,23,11,98,20,5551,69,31,129,49,Kevin,Tien,ktien,spiders
2018,10,14,10,106,111,4,0,0,0,0,0,0,121,2,6,0,0,0,0,0,150,111,37,17,10314,218,128,117,69,Jacob,Mouw,jmouw,flyers
2023,0,0,1,12,12,0,0,0,69,68,0,0,12,0,1,0,0,0,0,0,10,8,3,2,746,16,10,9,7,Ryoma,Katsuta,rkatsuta,cascades
2023,0,1,1,14,18,3,0,0,196,15,0,0,20,0,1,0,0,0,0,0,5,0,38,9,3298,32,9,60,31,Ywan,Cohonner,ycohonner,royal
